"naam";"voornaam";"fractie";"email";"straat";"straat-nr";"postcode";"gemeente";"deelstaatsenator";"uitgebreid-bureau-functie";"kieskring";"website";"fotowebpath";"id";
"Vaneeckhout";"Jeremie";"Groen";"jeremie.vaneeckhout@groen.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"secretaris";"Kieskring West-Vlaanderen";"https://www.groen.be/jeremie_vaneeckhout";"http://docs.vlaamsparlement.be/pfile?id=1482461";"4426";
"Vanlouwe";"Karl";"N-VA";"karl.vanlouwe@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring Brussel-Hoofdstad";"https://www.karlvanlouwe.be";"http://docs.vlaamsparlement.be/pfile?id=1478858";"4102";
"Van Miert";"Paul";"N-VA";"paul.vanmiert@vlaamsparlement.be";"Duifhuisstraat";"22 bus 3";"2300";"TURNHOUT";"";"";"Kieskring Antwerpen";"https://www.paulvanmiert.be";"http://docs.vlaamsparlement.be/pfile?id=1541394";"4064";
"Van Peteghem";"Vincent";"CD&V";"vincent.vanpeteghem@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Oost-Vlaanderen";"https://www.vincentvanpeteghem.be";"http://docs.vlaamsparlement.be/pfile?id=1482980";"4420";
"Van Rompuy";"Peter";"CD&V";"petervanrompuy@gmail.com";"Kerselarenlaan";"7";"1650";"BEERSEL";"deelstaatsenator";"fractievoorzitter";"Kieskring Vlaams-Brabant";"http://www.petervanrompuy.be";"http://docs.vlaamsparlement.be/pfile?id=1484146";"3918";
"Van Rooy";"Sam";"Vlaams Belang";"sam.vanrooy@vlaamsbelang.org";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";"https://www.samvanrooy.be";"http://docs.vlaamsparlement.be/pfile?id=1486467";"4421";
"Vanryckeghem";"Kurt";"CD&V";"kurt.vanryckeghem@vlaamsparlement.be";"Gemeenteplein";"2";"8790";"WAREGEM";"";"";"Kieskring West-Vlaanderen";;"http://docs.vlaamsparlement.be/pfile?id=1482469";"4427";
"Van Volcem";"Mercedes";"Open Vld";"mercedes.vanvolcem@vlaamsparlement.be";"Sint-Walburgastraat";"22";"8000";"BRUGGE";"";"";"Kieskring West-Vlaanderen";"http://www.mercedesvanvolcem.be";"http://docs.vlaamsparlement.be/pfile?id=1478580";"3444";
"Van Werde";"Manuela";"N-VA";"manuela.vanwerde@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";"https://www.manuelavanwerde.be";"http://docs.vlaamsparlement.be/pfile?id=1478852";"4099";
"Verheyden";"Wim";"Vlaams Belang";"wim.verheyden@vlaamsbelang.org";"Sint-Amandsesteenweg";"226/AGVL";"2880";"BORNEM";"";"";"Kieskring Antwerpen";;"http://docs.vlaamsparlement.be/pfile?id=1482489";"4433";
"Verheyen";"Katja";"N-VA";"katja.verheyen@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Limburg";"https://www.katjaverheyen.be";"http://docs.vlaamsparlement.be/pfile?id=1482466";"4431";
"Verougstraete-Deschacht";"Frieda";"Vlaams Belang";"frieda.verougstraete-deschacht@vlaamsparlement.be";"Verenigde-Natieslaan";"27";"8400";"OOSTENDE";"";"";"Kieskring West-Vlaanderen";;"http://docs.vlaamsparlement.be/pfile?id=1482724";"4434";
"Veys";"Maxim";"sp.a";"maxim.veys@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring West-Vlaanderen";"https://www.maximveys.be";"http://docs.vlaamsparlement.be/pfile?id=1482478";"4428";
"Warnez";"Brecht";"CD&V";"brecht.warnez@vlaamsparlement.be";"Kerkplein";"3";"8750";"WINGENE";"";"";"Kieskring West-Vlaanderen";"https://www.brechtwarnez.be";"http://docs.vlaamsparlement.be/pfile?id=1487411";"4443";
"Wouters";"Suzy";"Vlaams Belang";"suzy.wouters@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Vlaams-Brabant";;"http://docs.vlaamsparlement.be/pfile?id=1482725";"4429";
